sale_date,product_category_name,order_units,unit_price,customer_state
2017-10-02,utilidades_domesticas,1,29.99,SP
2018-07-24,perfumaria,1,118.7,BA
2018-08-08,automotivo,1,159.9,GO
2017-11-18,pet_shop,1,45.0,RN
2018-02-13,papelaria,1,19.9,SP
2017-07-09,automotivo,1,147.9,PR
2017-05-16,automotivo,1,59.99,RJ
2017-01-23,moveis_decoracao,1,19.9,RS
2017-07-29,moveis_escritorio,1,149.99,SP
2017-05-16,ferramentas_jardim,2,99.0,RJ
2017-07-13,informatica_acessorios,1,98.0,SP
2018-06-07,perfumaria,1,31.9,MG
2018-07-25,cama_mesa_banho,1,19.9,SP
2018-03-01,brinquedos,1,38.25,SP
2018-06-07,perfumaria,1,132.4,GO
2018-01-02,construcao_ferramentas_construcao,1,1299.0,RJ
2017-12-26,telefonia,1,27.99,SC
2017-11-21,cama_mesa_banho,1,17.9,SP
2017-10-26,telefonia,1,76.0,BA
2017-09-18,beleza_saude,1,109.9,SP
2018-03-15,beleza_saude,1,79.99,SP
2018-02-03,eletronicos,1,9.5,SP
2018-01-08,bebes,1,129.99,SC
2018-08-09,papelaria,1,89.9,SP
2018-02-20,cool_stuff,1,109.9,RJ
2018-06-04,bebes,1,39.5,BA
2018-06-04,bebes,1,90.9,BA
2018-03-12,perfumaria,1,47.9,SP
2018-05-02,relogios_presentes,1,178.99,SP
2018-02-25,ferramentas_jardim,1,30.1,RR
2017-08-10,bebes,1,279.0,SP
2018-04-16,climatizacao,1,186.9,PE
2017-12-12,moveis_decoracao,1,49.0,SP
2018-02-03,brinquedos,1,84.9,RJ
2018-07-29,perfumaria,1,179.0,SP
2018-02-17,ferramentas_jardim,1,78.0,TO
2018-02-21,eletronicos,1,39.9,CE
2017-07-31,informatica_acessorios,1,27.9,SP
2018-06-01,beleza_saude,1,445.0,PE
2018-03-26,cama_mesa_banho,1,36.9,SP
2017-05-19,ferramentas_jardim,1,119.99,RJ
2017-11-24,utilidades_domesticas,1,339.0,SP
2017-08-04,esporte_lazer,1,69.9,DF
2018-08-04,papelaria,1,99.0,BA
2017-05-18,ferramentas_jardim,1,139.0,RJ
2017-05-14,esporte_lazer,1,36.9,BA
2018-05-17,moveis_decoracao,1,69.9,SP
2018-07-29,esporte_lazer,1,33.9,RS
2017-08-09,livros_interesse_geral,1,115.0,SP
2018-02-01,construcao_ferramentas_construcao,1,39.47,SP
2018-06-26,eletroportateis,1,53.44,PR
2018-07-26,esporte_lazer,2,60.0,RS
2017-12-15,relogios_presentes,1,369.0,RJ
2017-08-31,moveis_decoracao,1,38.4,SP
2018-06-11,perfumaria,1,119.9,RJ
2018-06-11,eletroportateis,1,29.99,SP
2018-03-09,telefonia,2,22.99,SE
2017-03-13,moveis_decoracao,1,84.9,SP
2017-06-13,esporte_lazer,1,113.0,SP
2017-11-30,cama_mesa_banho,1,79.9,SP
2018-08-05,esporte_lazer,1,39.9,DF
2017-11-15,esporte_lazer,1,299.0,RJ
2018-02-19,alimentos,1,27.9,MG
2018-04-22,informatica_acessorios,1,119.0,MG
2018-04-22,malas_acessorios,1,199.0,MG
2018-01-07,construcao_ferramentas_construcao,2,329.9,BA
2018-02-10,telefonia,1,24.89,MG
2018-06-18,automotivo,4,84.9,SP
2018-06-13,construcao_ferramentas_construcao,1,42.99,SP
2018-07-15,alimentos,1,27.9,SC
2017-09-13,bebes,1,50.0,SP
2018-04-13,climatizacao,1,190.0,SP
2018-02-15,cool_stuff,1,42.9,SP
2017-02-20,beleza_saude,1,69.9,MG
2017-04-20,utilidades_domesticas,5,38.0,PR
2017-09-15,perfumaria,2,56.99,MT
2018-07-28,automotivo,1,24.99,SP
2017-08-09,relogios_presentes,1,219.0,RS
2018-08-26,relogios_presentes,2,93.0,SP
2017-07-30,beleza_saude,1,19.99,SP
2017-12-22,telefonia,1,45.0,DF
2017-04-06,beleza_saude,1,58.2,MG
2017-05-09,cama_mesa_banho,1,110.99,RS
2017-04-20,cama_mesa_banho,1,38.5,PB
2017-10-16,moveis_escritorio,1,179.99,BA
2017-12-08,esporte_lazer,1,544.0,SP
2017-08-26,cama_mesa_banho,1,14.82,SC
2018-02-27,informatica_acessorios,1,394.9,SP
2018-05-11,fashion_underwear_e_moda_praia,1,49.9,SP
2018-01-22,moveis_decoracao,1,89.18,MG
2018-05-01,telefonia,1,29.99,SP
2017-09-19,beleza_saude,1,58.99,PR
2018-04-11,informatica_acessorios,1,98.44,MG
2017-12-20,relogios_presentes,1,219.9,SC
2018-04-22,telefonia,1,759.0,SP
2018-08-03,esporte_lazer,1,65.9,CE
2018-05-14,moveis_decoracao,1,10.9,SP
2017-11-22,moveis_decoracao,1,83.9,RJ
2017-03-30,cama_mesa_banho,1,17.9,SP
2018-06-05,bebes,1,99.2,PR
2018-08-26,utilidades_domesticas,1,160.0,SP
2017-05-17,esporte_lazer,1,29.9,SP
2018-07-30,beleza_saude,1,13.99,SP
2018-03-01,beleza_saude,1,535.9,RS
2018-02-06,moveis_decoracao,1,69.9,SP
2017-01-28,beleza_saude,1,589.9,BA
2017-07-01,relogios_presentes,1,235.99,MG
2017-09-27,utilidades_domesticas,1,19.9,SP
2017-11-28,moveis_decoracao,1,25.99,RJ
2018-02-01,perfumaria,1,18.5,RJ
2018-08-22,papelaria,2,49.9,DF
2018-07-06,beleza_saude,1,84.99,RJ
2018-05-09,cool_stuff,1,199.0,RJ
2017-11-26,cama_mesa_banho,1,109.9,RJ
2017-09-29,fashion_bolsas_e_acessorios,1,29.99,RS
2017-06-27,utilidades_domesticas,1,59.9,SP
2018-01-23,utilidades_domesticas,1,42.9,RJ
2018-08-20,relogios_presentes,1,43.0,RN
2018-01-30,esporte_lazer,2,12.5,RJ
2018-03-31,cama_mesa_banho,1,179.9,SP
2018-03-31,moveis_escritorio,1,119.99,SP
2018-03-31,moveis_escritorio,1,149.99,SP
2018-03-07,instrumentos_musicais,1,59.9,SP
2018-05-08,cama_mesa_banho,1,69.99,SP
2017-03-30,moveis_escritorio,1,129.6,PB
2017-11-24,moveis_decoracao,2,31.8,RJ
2018-04-25,cama_mesa_banho,1,129.9,SP
2017-07-16,cama_mesa_banho,1,99.9,SP
2017-11-21,relogios_presentes,1,146.0,PR
2017-10-19,beleza_saude,2,39.49,SP
2018-07-22,cama_mesa_banho,1,54.99,RJ
2017-12-02,beleza_saude,1,89.99,MG
2018-03-26,esporte_lazer,1,129.9,RJ
2018-01-09,beleza_saude,1,69.9,SP
2018-02-06,informatica_acessorios,2,80.9,PR
2018-07-18,beleza_saude,1,110.32,SP
2017-03-28,esporte_lazer,2,91.99,SP
2017-03-28,esporte_lazer,1,91.99,SP
2018-06-08,utilidades_domesticas,1,25.0,MG
2017-07-10,malas_acessorios,1,259.9,SP
2018-05-16,papelaria,1,39.0,SP
2018-07-05,esporte_lazer,1,104.9,SP
2018-07-05,beleza_saude,1,110.32,SP
2017-09-20,perfumaria,1,7.0,GO
2018-02-21,ferramentas_jardim,1,49.9,MG
2018-01-10,beleza_saude,1,126.99,SP
2017-04-26,telefonia,1,28.99,PA
2017-11-27,ferramentas_jardim,1,281.99,RS
2018-05-11,construcao_ferramentas_iluminacao,6,45.0,SP
2018-05-25,beleza_saude,1,89.49,SP
2017-11-26,bebes,1,60.0,PR
2017-11-17,pet_shop,1,59.99,MT
2017-11-17,pet_shop,1,49.99,MT
2018-07-23,livros_tecnicos,1,93.99,MG
2018-02-14,cama_mesa_banho,1,148.9,SP
2017-04-30,brinquedos,1,119.9,RS
2017-05-15,papelaria,1,119.0,RS
2017-07-22,telefonia,1,48.0,SP
2018-06-24,eletroportateis,1,49.1,SP
2018-07-02,alimentos,1,66.39,PR
2017-03-06,ferramentas_jardim,1,39.9,RO
2017-10-04,bebes,1,159.99,RS
2017-12-21,moveis_decoracao,1,49.9,DF
2018-02-02,relogios_presentes,1,199.0,SC
2018-06-01,livros_tecnicos,1,28.0,SP
2018-06-01,construcao_ferramentas_jardim,1,47.99,SP
2018-08-09,esporte_lazer,1,229.9,SP
2017-11-15,automotivo,1,117.3,BA
2018-04-26,cama_mesa_banho,1,35.9,SP
2018-07-15,eletronicos,1,24.9,SP
2018-05-30,cama_mesa_banho,1,359.9,MG
2017-12-02,automotivo,1,98.7,SP
2018-03-29,moveis_escritorio,1,179.9,SP
2018-06-25,eletrodomesticos,1,99.9,SP
2017-09-11,market_place,1,62.8,SP
2018-04-15,eletrodomesticos,1,45.0,SP
2018-01-13,beleza_saude,1,80.0,MG
2018-04-04,bebes,1,109.9,SP
2017-09-26,cama_mesa_banho,1,159.0,PR
2018-02-28,agro_industria_e_comercio,1,410.0,MT
2017-04-22,telefonia,1,37.99,MG
2018-01-18,beleza_saude,1,52.39,SP
2017-03-14,utilidades_domesticas,1,87.37,SP
2017-12-20,telefonia,1,24.99,MT
2017-12-04,artigos_de_festas,1,257.6,PR
2018-08-03,informatica_acessorios,1,83.0,MG
2018-03-29,casa_conforto,1,159.99,SP
2017-05-18,perfumaria,2,179.9,MG
2017-06-16,cool_stuff,1,359.5,ES
2017-07-05,cds_dvds_musicais,2,45.0,RS
2018-07-27,telefonia,1,679.0,SP
2017-07-08,perfumaria,1,84.99,RJ
2018-03-15,perfumaria,1,49.99,SP
2017-06-25,utilidades_domesticas,1,59.9,SP
2018-02-28,informatica_acessorios,1,39.99,RS
2018-04-16,moveis_decoracao,2,69.9,SC
2018-05-15,pet_shop,1,69.9,MG
2018-07-13,moveis_decoracao,1,167.0,GO
2018-07-13,utilidades_domesticas,1,169.49,GO
2017-08-01,papelaria,1,95.0,SP
2018-07-21,automotivo,1,27.9,SP
2017-03-09,market_place,1,289.9,RS
2017-12-09,telefonia,1,189.9,AP
2018-08-01,beleza_saude,1,69.9,SP
2018-04-09,moveis_decoracao,1,99.9,SC
2018-02-10,fashion_bolsas_e_acessorios,1,49.9,SP
2017-04-27,brinquedos,1,68.0,PE
2017-12-06,esporte_lazer,1,25.9,SP
2017-11-30,esporte_lazer,1,269.9,MG
2017-06-05,utilidades_domesticas,1,52.88,PR
2017-09-12,esporte_lazer,1,279.99,RS
2018-07-22,industria_comercio_e_negocios,1,102.0,SP
2018-06-03,esporte_lazer,1,28.9,SP
2018-05-23,informatica_acessorios,1,12.88,SP
2018-02-03,utilidades_domesticas,1,129.97,MG
2018-05-17,relogios_presentes,1,96.0,SP
2018-08-10,cama_mesa_banho,1,64.99,PR
2018-04-18,bebes,1,428.0,SP
2017-09-27,bebes,1,159.99,RS
2018-02-05,construcao_ferramentas_iluminacao,1,120.0,RJ
2017-11-16,cama_mesa_banho,1,37.99,SP
2018-01-31,perfumaria,1,155.99,SP
2018-01-11,moveis_decoracao,1,69.9,MS
2017-06-04,cama_mesa_banho,1,89.9,SP
2018-03-29,cama_mesa_banho,1,135.0,ES
2017-07-17,informatica_acessorios,1,31.9,RJ
2018-05-09,beleza_saude,1,49.99,MG
2018-08-08,perfumaria,1,136.78,SP
2018-04-17,perfumaria,1,117.7,MG
2017-12-11,livros_interesse_geral,1,129.9,SP
2018-05-04,beleza_saude,2,110.32,SC
2017-12-17,fashion_bolsas_e_acessorios,1,64.9,MG
2017-12-21,relogios_presentes,1,59.99,SP
2018-02-27,consoles_games,1,320.0,SP
2018-03-18,informatica_acessorios,1,129.0,RJ
2017-01-05,moveis_quarto,1,9.9,PR
2017-11-24,moveis_decoracao,2,359.7,PR
2017-12-24,fashion_bolsas_e_acessorios,1,49.99,MG
2018-03-29,ferramentas_jardim,1,48.32,SP
2017-11-29,cama_mesa_banho,1,74.9,PR
2018-04-03,construcao_ferramentas_seguranca,1,65.0,SC
2017-04-20,informatica_acessorios,1,17.5,SP
2018-01-25,esporte_lazer,1,38.2,SP
2018-05-08,papelaria,1,68.0,SP
2018-06-16,automotivo,1,383.5,SP
2017-07-02,beleza_saude,1,79.9,RS
2018-01-23,cama_mesa_banho,2,39.9,SP
2018-01-16,beleza_saude,1,199.0,SP
2018-02-22,moveis_decoracao,1,99.0,PR
2018-03-30,pet_shop,1,119.9,SP
2017-02-12,telefonia_fixa,1,34.99,SP
2018-02-01,automotivo,1,199.0,RJ
2018-06-06,relogios_presentes,1,105.0,SP
2017-11-17,esporte_lazer,1,24.9,BA
2018-01-30,cama_mesa_banho,1,199.9,SP
2018-03-07,beleza_saude,2,109.9,RJ
2018-01-10,esporte_lazer,1,119.0,RJ
2017-02-08,cama_mesa_banho,1,20.0,SP
2018-06-30,bebidas,1,35.0,SP
2018-08-08,moveis_cozinha_area_de_servico_jantar_e_jardim,1,56.9,RS
2017-10-05,pet_shop,1,60.0,SP
2018-04-10,relogios_presentes,1,178.99,RJ
2018-07-12,moveis_decoracao,1,94.0,PR
2017-11-24,moveis_decoracao,1,70.91,SP
2017-08-31,bebes,1,174.9,BA
2018-05-15,cama_mesa_banho,1,109.9,SP
2018-01-22,esporte_lazer,1,59.99,SP
2018-06-16,telefonia,1,12.99,MG
2018-07-28,automotivo,1,13.3,SP
2017-11-28,moveis_decoracao,1,64.9,SP
2018-02-11,automotivo,1,15.9,GO
2018-03-17,esporte_lazer,1,79.97,SP
2018-06-03,beleza_saude,1,79.99,SP
2018-05-07,brinquedos,1,44.9,DF
2018-03-09,beleza_saude,1,325.0,PE
2018-02-27,cama_mesa_banho,1,72.9,SP
2018-01-24,esporte_lazer,1,109.0,MS
2018-06-09,beleza_saude,1,394.65,RS
2017-11-11,beleza_saude,1,34.49,SP
2018-06-28,beleza_saude,1,66.99,RJ
2018-08-01,bebes,1,54.9,BA
2017-11-24,relogios_presentes,1,170.0,BA
2018-02-03,livros_interesse_geral,1,27.9,SP
2017-04-27,fashion_bolsas_e_acessorios,1,39.9,MG
2018-04-10,cool_stuff,1,89.99,ES
2017-11-13,fashion_calcados,1,84.9,RS
2018-07-23,relogios_presentes,1,34.9,TO
2018-04-03,informatica_acessorios,1,16.99,SP
2018-01-12,relogios_presentes,1,49.0,SP
2017-07-24,esporte_lazer,1,119.0,SP
2018-03-07,relogios_presentes,1,219.0,PR
2018-06-05,beleza_saude,1,129.9,RJ
2018-02-15,moveis_decoracao,1,89.18,PE
2017-06-29,casa_conforto,1,89.9,SP
2017-06-29,cama_mesa_banho,1,89.9,SP
2018-01-19,papelaria,1,79.0,RJ
